Bloco,Formulacao,Pia,Y
1,3,1,13
1,8,2,20
1,4,3,7
2,4,1,6
2,9,2,29
2,2,3,17
3,3,1,15
3,6,2,23
3,9,3,31
4,9,1,31
4,5,2,26
4,1,3,20
5,2,1,16
5,7,2,21
5,6,3,23
6,6,1,23
6,5,2,26
6,4,3,6
7,9,1,28
7,8,2,19
7,7,3,21
8,7,1,20
8,1,2,20
8,4,3,7
9,6,1,24
9,8,2,19
9,1,3,20
10,5,1,26
10,8,2,19
10,2,3,17
11,5,1,24
11,3,2,14
11,7,3,19
12,3,1,11
12,2,2,17
12,1,3,19
